Timestamp,TotalUploads,SystemErrors,AvgProcessingTimeMS,JvmMemoryUsedMB,ActiveHttpRequests
2025-12-26T15:37:57.92196,0,0,0,00,8,02,0
2025-12-26T15:38:57.9206991,1,0,883,67,9,85,0
2025-12-26T15:39:57.9241113,1,0,883,67,9,85,0
2025-12-26T15:40:57.9293101,1,0,883,67,9,85,0
2025-12-26T15:41:35.3496676,0,0,0.00,8.02,0
2025-12-26T15:42:35.3501544,1,0,672.67,9.88,0
2025-12-26T15:43:35.3529169,1,0,672.67,9.88,0
2025-12-26T15:44:35.3566117,1,0,672.67,9.88,0
2025-12-26T15:45:35.3445522,1,0,672.67,9.88,0
2025-12-26T15:46:35.352932,1,0,672.67,9.89,0
2025-12-26T15:47:35.3473104,1,0,672.67,9.89,0
2025-12-26T15:48:35.3499153,1,0,672.67,9.89,0
2025-12-26T15:49:35.3503065,1,0,672.67,9.89,0
2025-12-26T15:50:35.3439417,1,0,672.67,9.89,0
2025-12-26T15:51:35.3468123,1,0,672.67,9.89,0
2025-12-26T15:52:35.3577055,1,0,672.67,9.89,0
2025-12-26T15:53:35.3479541,1,0,672.67,9.89,0
2025-12-26T15:54:35.3430503,1,0,672.67,9.89,0
2025-12-26T15:55:35.3480498,1,0,672.67,9.89,0
2025-12-26T15:56:35.3499704,1,0,672.67,9.89,0
2025-12-26T15:57:35.3547863,1,0,672.67,9.89,0
2025-12-26T15:58:35.3462018,1,0,672.67,9.89,0
2025-12-26T15:59:35.3446422,1,0,672.67,9.89,0
2025-12-26T16:00:35.3566367,1,0,672.67,9.89,0
2025-12-26T16:01:35.3544687,1,0,672.67,9.89,0
2025-12-26T16:02:35.3572202,1,0,672.67,9.89,0
2025-12-26T16:03:35.3483257,1,0,672.67,9.89,0
2025-12-26T16:04:35.3519047,1,0,672.67,9.89,0
2025-12-26T16:05:35.3527372,1,0,672.67,9.89,0
2025-12-26T16:06:35.3438698,1,0,672.67,9.89,0
2025-12-26T16:07:35.3515701,1,0,672.67,9.89,0
2025-12-26T16:08:35.3565009,1,0,672.67,9.89,0
2025-12-26T16:09:35.3582963,1,0,672.67,9.89,0
2025-12-26T16:10:35.3559037,1,0,672.67,9.89,0
2025-12-26T16:11:35.3454768,1,0,672.67,9.89,0
2025-12-26T16:12:35.3486295,1,0,672.67,9.89,0
2025-12-26T16:13:35.3433959,1,0,672.67,9.89,0
2025-12-26T16:14:35.3466088,1,0,672.67,9.89,0
2025-12-26T16:15:35.3517332,1,0,672.67,9.89,0
2025-12-26T16:16:35.3451786,1,0,672.67,9.89,0
2025-12-26T16:17:35.3569604,1,0,672.67,9.89,0
2025-12-26T16:18:35.346825,1,0,672.67,9.89,0
2025-12-26T16:19:35.344266,1,0,672.67,9.89,0
2025-12-26T16:20:35.3491177,1,0,672.67,9.89,0
2025-12-26T16:21:35.3452396,1,0,672.67,9.89,0
2025-12-26T16:22:35.3466901,1,0,672.67,9.89,0
2025-12-26T16:23:35.3540216,1,0,672.67,9.89,0
2025-12-26T16:24:35.3575074,1,0,672.67,9.89,0
2025-12-26T16:25:35.3509689,1,0,672.67,9.89,0
2025-12-26T16:26:35.3462996,1,0,672.67,9.89,0
2025-12-26T16:27:35.3556066,1,0,672.67,9.89,0
2025-12-26T16:28:35.3454641,1,0,672.67,9.89,0
2025-12-26T16:29:35.358191,1,0,672.67,9.89,0
2025-12-26T16:30:35.3468595,1,0,672.67,9.89,0
2025-12-26T16:31:35.3555266,1,0,672.67,9.89,0
2025-12-26T16:32:35.3477726,1,0,672.67,9.89,0
2025-12-26T16:33:35.3541921,1,0,672.67,9.89,0
2025-12-26T16:34:35.3503296,1,0,672.67,9.89,0
2025-12-26T16:35:35.3586344,1,0,672.67,9.89,0
2025-12-26T16:36:35.3527151,1,0,672.67,9.89,0
2025-12-26T16:37:35.3432193,1,0,672.67,9.89,0
2025-12-26T16:39:11.2496355,0,0,0.00,8.94,0
2025-12-26T16:40:11.2407737,0,0,0.00,10.99,0
2025-12-26T16:42:56.7806397,0,0,0.00,9.00,0
2025-12-26T16:43:56.7593073,0,0,0.00,10.83,0
2025-12-26T16:44:02.902839,0,0,0.00,11.12,0
2025-12-26T16:44:56.7556372,0,0,0.00,12.53,0
2025-12-26T16:45:02.9126098,2,4,28.25,12.53,0
2025-12-26T16:47:33.6525372,0,0,0.00,8.98,0
2025-12-26T16:48:33.6477581,0,0,0.00,10.82,0
2025-12-26T16:48:37.1326802,0,0,0.00,11.11,0
2025-12-26T16:49:33.6469603,0,0,0.00,12.53,0
2025-12-26T16:49:37.1353647,2,4,19.50,12.53,0
2025-12-26T16:53:30.0647354,0,0,0.00,8.48,0
2025-12-26T16:54:21.583205,0,0,0.00,8.49,0
2025-12-26T17:01:17.5126942,0,0,0.00,8.95,0
2025-12-26T17:02:17.4930959,0,0,0.00,10.77,0
2025-12-26T17:02:20.6780509,0,0,0.00,11.06,0
2025-12-26T17:03:17.4942929,0,0,0.00,12.48,0
2025-12-26T17:03:20.6808098,0,0,0.00,12.48,0
2025-12-26T17:06:15.3725127,0,0,0.00,8.63,0
2025-12-26T17:06:20.5438096,0,0,0.00,11.70,0
2025-12-26T17:07:15.3637816,0,0,0.00,12.42,0
2025-12-26T17:07:20.5527705,0,0,0.00,12.42,0
2025-12-26T17:08:15.3669324,0,0,0.00,12.45,0
2025-12-26T17:08:20.5555912,0,0,0.00,12.45,0
2025-12-26T17:11:57.6253293,0,0,0.00,8.99,0
2025-12-26T17:12:57.6109919,0,0,0.00,10.82,0
2025-12-26T17:13:03.7767702,0,0,0.00,11.11,0
2025-12-26T17:13:57.611019,0,0,0.00,12.52,0
2025-12-26T17:14:03.7822748,0,0,0.00,12.52,0
2025-12-26T17:17:07.7916759,0,0,0.00,8.94,0
2025-12-26T17:18:07.7778257,0,0,0.00,10.83,0
2025-12-26T17:19:07.7850947,0,0,0.00,12.53,0
2025-12-26T20:19:15.7832318,0,0,0.00,8.99,0
2025-12-26T20:21:04.2813973,0,0,0.00,8.97,0
2025-12-26T20:22:04.2506536,0,0,0.00,10.82,0
2025-12-26T20:23:04.2532888,0,0,0.00,12.57,0
2025-12-26T20:44:50.1016896,0,0,0.00,8.03,0
2025-12-26T20:45:50.0908549,0,0,801.00,9.70,0
2025-12-26T20:46:50.0889174,1,0,751.00,9.89,0
2025-12-26T20:47:50.0865058,1,0,751.00,9.89,0
2025-12-26T20:48:50.0925939,1,0,751.00,9.89,0
2025-12-26T20:49:50.0908435,1,0,751.00,9.89,0
2025-12-26T20:50:50.082695,1,0,751.00,9.90,0
2025-12-26T20:51:50.07768,1,0,751.00,9.90,0
2025-12-26T20:52:50.0860705,1,0,751.00,9.90,0
2025-12-26T20:53:50.0801979,1,0,751.00,9.90,0
2025-12-26T20:54:50.0884643,1,0,751.00,9.90,0
2025-12-26T20:55:50.0771272,1,0,751.00,9.90,0
2025-12-26T20:56:50.080251,1,0,751.00,9.90,0
2025-12-26T20:57:50.2761771,1,0,751.00,9.90,0
2025-12-26T20:58:50.0732052,1,0,751.00,9.90,0
2025-12-26T20:59:50.0821133,1,0,751.00,9.90,0
2025-12-26T21:00:50.072916,1,0,751.00,9.90,0
2025-12-26T21:01:50.0796892,1,0,751.00,9.90,0
2025-12-26T21:02:50.0814822,1,0,751.00,9.90,0
2025-12-26T21:02:53.0408799,0,0,0.00,8.99,0
2025-12-26T21:03:50.0737347,1,0,327.92,9.98,0
2025-12-26T21:03:53.0225203,0,0,0.00,12.52,0
