Timestamp,TotalUploads,TotalDeletions,SystemErrors,AvgProcessingTimeMS,JvmMemoryUsedMB,ActiveHttpRequests
2026-01-27T10:47:57.134791752,0,0,0.00,1.00,8
2026-01-27T10:48:57.120513533,0,0,0.00,1.00,8
2026-01-27T10:49:57.115398487,0,0,0.00,1.00,8
2026-01-27T10:50:57.110413116,0,0,0.00,684.50,9
2026-01-27T10:51:57.104072498,1,1,0.00,437.86,10
2026-01-27T10:55:44.920600652,0,0,0.00,0.00,8
2026-01-27T10:57:39.034372236,0,0,0.00,0.00,8
2026-01-27T10:58:39.025870727,0,0,0.00,0.00,8
2026-01-27T10:59:39.017816697,0,0,0.00,0.00,8
2026-01-27T11:00:39.00829464,0,0,0.00,0.00,8
2026-01-27T11:01:39.000974297,0,0,0.00,0.00,8
2026-01-27T11:02:51.330508952,0,0,0.00,0.00,8
2026-01-27T11:03:51.310136798,0,0,0.00,406.75,9
2026-01-27T11:04:51.3008568,1,1,0.00,343.50,10
2026-01-27T11:05:51.291526004,1,1,0.00,343.50,10
2026-01-27T11:06:51.282748865,1,1,0.00,343.50,10
2026-01-27T11:07:51.277766969,1,1,0.00,343.50,10
